time,EC-Earth3P-HR r1i1p1f1,EC-Earth3P r1i1p1f1,HadGEM3-GC31-HM r1i1p1f1,HadGEM3-GC31-LM r1i14p1f1,HadGEM3-GC31-MM r1i1p1f1
1950-06-01,1.5351766,0.5211055,24.479343,13.437584,14.551571
1951-06-01,0.510377,4.343359,29.849075,11.589866,25.593918
1952-06-01,1.9293988,0.00048091268,22.793413,22.424944,15.1549225
1953-06-01,2.6665623,3.1075926,18.1334,16.10649,30.70198
1954-06-01,0.764899,0.7406666,7.009122,11.48583,24.105696
1955-06-01,3.3600612,0.09121853,15.76058,16.162138,37.255497
1956-06-01,2.665508,0.59227663,19.779514,21.062542,17.064535
1957-06-01,0.6334756,0.5630387,13.486878,7.943866,29.963404
1958-06-01,5.3483987,4.7906203,31.952454,34.770412,27.28758
1959-06-01,10.007689,1.8834008,19.487795,17.602291,22.115982
1960-06-01,2.4538174,1.5188078,23.988794,21.469585,21.51251
1961-06-01,1.6656295,0.5057164,22.030256,23.776165,20.070791
1962-06-01,0.23969863,0.97340804,18.849491,14.656527,20.605331
1963-06-01,0.8726414,1.0731139,22.193956,8.517342,19.819124
1964-06-01,0.039194617,3.1829755,13.179998,28.021635,20.892721
1965-06-01,7.9473515,4.4230685,41.814705,10.748682,50.618618
1966-06-01,6.8584948,7.2078824,29.996449,43.303066,7.092094
1967-06-01,2.346404,0.5164106,12.511241,11.722372,27.51967
1968-06-01,1.7666016,0.9332803,25.344141,17.014097,24.806389
1969-06-01,3.103539,2.3049088,29.198462,18.750317,49.98025
1970-06-01,15.255073,1.320464,16.979548,22.536789,32.796097
1971-06-01,5.0586367,0.42414868,15.522774,12.410872,23.347794
1972-06-01,0.7900107,0.36273453,26.08628,16.177414,18.15324
1973-06-01,2.038831,2.2810075,34.246872,12.1476345,12.609599
1974-06-01,5.7112494,1.0395783,10.272606,17.594011,12.505727
1975-06-01,2.242375,2.2049317,16.946646,12.487373,17.669497
1976-06-01,1.6402986,2.6522458,23.246183,8.291368,11.767558
1977-06-01,5.9155383,0.8253991,24.71771,15.350892,24.26951
1978-06-01,0.9309957,4.102197,26.726707,30.329433,37.110756
1979-06-01,1.3838545,8.013937,39.21625,27.793976,20.63859
1980-06-01,40.785717,1.2180969,12.483899,21.658342,25.000114
1981-06-01,7.1657453,4.4363036,13.178955,18.80373,18.204908
1982-06-01,6.4603777,3.299913,16.918665,32.419956,15.25636
1983-06-01,0.3006803,1.1996082,43.575096,51.84037,32.48483
1984-06-01,0.84179103,2.4236002,37.013424,7.74261,16.468735
1985-06-01,9.145057,4.0571957,9.539785,27.799397,21.500423
1986-06-01,7.372244,0.12602358,14.493064,9.984399,8.4950695
1987-06-01,4.6346197,4.6523004,11.756186,13.708386,22.065115
1988-06-01,1.1113228,2.0578701,12.725214,14.199301,30.847694
1989-06-01,5.64008,4.061681,21.823498,17.991253,44.644295
1990-06-01,6.8099875,1.3933468,33.0166,37.03136,17.110775
1991-06-01,2.5983002,3.260425e-05,10.507176,5.725386,10.37597
1992-06-01,4.191263,0.033692416,46.879322,32.338364,22.510952
1993-06-01,12.664679,4.41036,44.369453,60.836506,52.5494
1994-06-01,2.4624581,0.6325632,21.14522,35.03248,43.5809
1995-06-01,27.865044,9.77772,30.717995,18.481997,15.862295
1996-06-01,1.5057113,7.8249836,18.270575,12.2919235,19.632833
1997-06-01,21.49482,0.47755855,30.021132,17.523565,32.813885
1998-06-01,0.9643779,0.9560951,26.649607,36.9783,36.796154
1999-06-01,0.7595137,12.120523,22.353285,17.336433,19.813038
2000-06-01,6.274061,4.900676,24.321928,14.855104,44.20888
2001-06-01,0.3335176,1.9450514,27.22765,18.678026,23.830023
2002-06-01,6.265966,1.7777997,17.107481,17.447378,28.821072
2003-06-01,4.0530167,14.835512,29.698063,19.13386,26.240011
2004-06-01,2.6359744,6.199678,13.848759,19.856213,15.927904
2005-06-01,6.0462265,3.3068087,20.57447,15.415388,44.643
2006-06-01,3.6459734,0.41739962,22.109169,15.039952,24.519125
2007-06-01,7.7766657,0.81694835,38.885548,16.105125,21.251842
2008-06-01,0.022885084,6.0930176,41.300552,32.151352,28.550188
2009-06-01,16.755655,3.4545712,31.309807,16.902308,16.802326
2010-06-01,7.3926497,0.8732926,32.435516,26.741371,27.588528
2011-06-01,17.223253,3.631722,17.484083,20.513353,28.490519
2012-06-01,1.7749791,2.0685725,23.913513,42.2243,37.188335
2013-06-01,9.903033,10.432308,14.091585,4.564662,21.595573
2014-06-01,7.3760653,2.000552,26.720482,22.493639,20.066685
2015-06-01,25.082924,8.202479,42.89424,35.949184,59.829777
2016-06-01,1.5885828,2.4666054,17.579113,39.94155,37.29879
2017-06-01,2.4759579,8.56999,33.022842,20.62887,13.04547
2018-06-01,0.7788144,5.7420645,13.961806,20.538925,20.357204
2019-06-01,4.8942347,5.286726,29.990055,40.388443,40.470547
2020-06-01,14.035521,1.0189235,39.12366,26.70727,44.36913
2021-06-01,3.994784,6.595151,22.149054,12.626816,36.936653
2022-06-01,2.417138,1.1317424,28.672525,15.010359,24.344086
2023-06-01,0.3114118,6.039236,31.558157,22.551304,22.790922
2024-06-01,4.035088,3.6883802,20.864172,35.58317,38.84966
2025-06-01,5.754415,1.0808185,22.717361,25.141676,40.733734
2026-06-01,20.896318,5.4518423,33.09061,17.35384,43.397263
2027-06-01,1.9486775,1.4125465,38.832676,11.962195,21.398125
2028-06-01,6.0153074,0.70312697,24.129707,34.42141,37.86964
2029-06-01,7.5088825,9.358814,40.722565,56.87987,64.98044
2030-06-01,1.5184085,0.00095774984,33.55683,32.74096,30.308847
2031-06-01,6.4119244,8.106774,33.72408,24.429775,37.72816
2032-06-01,2.409938,1.5256997,32.0219,18.27253,22.981625
2033-06-01,2.1087499,0.7046757,36.806267,34.573933,29.438622
2034-06-01,1.4286128,0.844556,34.848743,36.107384,40.236282
2035-06-01,13.00998,6.8580875,42.59987,22.482315,44.059006
2036-06-01,8.603992,10.966146,31.96382,12.225505,26.291763
2037-06-01,14.861601,0.5311436,18.657232,24.568768,29.435423
2038-06-01,1.1318816,4.575827,32.458294,7.3698306,23.438488
2039-06-01,75.2001,5.5214195,45.098446,23.269024,20.687115
2040-06-01,18.650238,1.9933178,27.296227,37.782196,17.2451
2041-06-01,3.7421288,17.108713,38.239815,20.263136,36.782253
2042-06-01,9.032514,1.9596457,17.05283,14.3410225,32.92214
2043-06-01,3.933635,2.7650154,29.720093,29.48584,22.964182
2044-06-01,50.893517,1.7187328,26.098717,26.94706,41.105576
2045-06-01,27.550198,12.587489,25.322996,22.704899,38.660633
2046-06-01,5.548286,4.83098,23.07776,33.693504,41.8299
2047-06-01,31.11838,5.160507,49.186,19.958876,43.735474
2048-06-01,6.3370986,1.1928428,21.517073,15.550093,28.348139
2049-06-01,7.713335,3.454477,33.689182,17.442005,30.370129
2050-06-01,,,32.83007,24.732483,30.564302
